id,name,group
Myriel,Myriel,G1
Napoleon,Napoleon,G1
Mlle.Baptistine,Mlle.Baptistine,G1
Mme.Magloire,Mme.Magloire,G1
CountessdeLo,CountessdeLo,G1
Geborand,Geborand,G1
Champtercier,Champtercier,G1
Cravatte,Cravatte,G1
Count,Count,G1
OldMan,OldMan,G1
Labarre,Labarre,G2
Valjean,Valjean,G2
Marguerite,Marguerite,G3
Mme.deR,Mme.deR,G2
Isabeau,Isabeau,G2
Gervais,Gervais,G2
Tholomyes,Tholomyes,G3
Listolier,Listolier,G3
Fameuil,Fameuil,G3
Blacheville,Blacheville,G3
Favourite,Favourite,G3
Dahlia,Dahlia,G3
Zephine,Zephine,G3
Fantine,Fantine,G3
Mme.Thenardier,Mme.Thenardier,G4
Thenardier,Thenardier,G4
Cosette,Cosette,G5
Javert,Javert,G4
Fauchelevent,Fauchelevent,G0
Bamatabois,Bamatabois,G2
Perpetue,Perpetue,G3
Simplice,Simplice,G2
Scaufflaire,Scaufflaire,G2
Woman1,Woman1,G2
Judge,Judge,G2
Champmathieu,Champmathieu,G2
Brevet,Brevet,G2
Chenildieu,Chenildieu,G2
Cochepaille,Cochepaille,G2
Pontmercy,Pontmercy,G4
Boulatruelle,Boulatruelle,G6
Eponine,Eponine,G4
Anzelma,Anzelma,G4
Woman2,Woman2,G5
MotherInnocent,MotherInnocent,G0
Gribier,Gribier,G0
Jondrette,Jondrette,G7
Mme.Burgon,Mme.Burgon,G7
Gavroche,Gavroche,G8
Gillenormand,Gillenormand,G5
Magnon,Magnon,G5
Mlle.Gillenormand,Mlle.Gillenormand,G5
Mme.Pontmercy,Mme.Pontmercy,G5
Mlle.Vaubois,Mlle.Vaubois,G5
Lt.Gillenormand,Lt.Gillenormand,G5
Marius,Marius,G8
BaronessT,BaronessT,G5
Mabeuf,Mabeuf,G8
Enjolras,Enjolras,G8
Combeferre,Combeferre,G8
Prouvaire,Prouvaire,G8
Feuilly,Feuilly,G8
Courfeyrac,Courfeyrac,G8
Bahorel,Bahorel,G8
Bossuet,Bossuet,G8
Joly,Joly,G8
Grantaire,Grantaire,G8
MotherPlutarch,MotherPlutarch,G9
Gueulemer,Gueulemer,G4
Babet,Babet,G4
Claquesous,Claquesous,G4
Montparnasse,Montparnasse,G4
Toussaint,Toussaint,G5
Child1,Child1,G10
Child2,Child2,G10
Brujon,Brujon,G4
Mme.Hucheloup,Mme.Hucheloup,G8
