国家,人口密度（人/平方公里）,人口
卢森堡,1099,602005
冰岛,648,357050
意大利,69176,60431283
瑞士,9117,8516543
西班牙,42058,46723749
奥地利,4876,8847037
挪威,2796,5314336
德国,32986,82927922
比利时,4269,11422068
法国,22302,66987244
荷兰,5560,17230000
伊朗,24811,81800269
丹麦,1591,5806081
爱尔兰,1329,4857000
葡萄牙,2362,10291027
瑞典,2272,10183175
以色列,1930,8883800
韩国,9137,51635256
美国,53601,327167434
芬兰,792,5521773
捷克,1394,10637794
英国,8077,66488991
新加坡,558,5638076
澳大利亚,2317,24992369
加拿大,2584,37058856
希腊,743,10741165
厄瓜多尔,981,17190400
马来西亚,1624,31528585
智利,922,19107216
罗马尼亚,762,19523621
波兰,901,38433600
沙特,767,33413600
土耳其,1872,82003822
日本,1921,126529100
泰国,827,69428524
巴西,2201,209598000
南非,554,57725600
菲律宾,552,107295000
巴基斯坦,972,203885000
印度尼西亚,686,268074600
